"geo_name","geo_lat","geo_lon","osm_name","osm_lat","osm_lon","name_match","distance"
"Maqām ash Shaykh ar Rifā‘ī","32.12628","35.34686","مدرسة خولة بنت الازور","32.126219","35.347179700000005","3.8461538461538463%","30.917024446364827m"
"Şarţah","32.10447","35.09198","Sarta Village Counci","32.104001000000004","35.0919571","10.0%","52.051665573890496m"
"Şarrah","32.2097","35.19147","صيدلية الهلال","32.2099842","35.1913044","0%","35.170223446643085m"
"Şānūr","32.35608","35.24537","","32.3563561","35.2451648","0%","36.20071368251257m"
"Sannīryā","32.12877","35.04652","Msjid Sanniriya AlKabeir","32.128646999999994","35.0468734","16.666666666666664%","36.028654309663125m"
"Saffārīn","32.26225","35.11028","عيادة طبية","32.2617374","35.110203000000006","0%","57.304071054075m"
"Şaffā","31.90563","35.06094","مدرسة صفا الثانوية للبنين","31.905794699999998","35.060431","0%","51.493517751006245m"
"Sabasţīyah","32.27562","35.19873","مركز سبسطية الصحي","32.2757406","35.198457399999995","0%","28.954943252241254m"
"Jabal as Sa‘ādah","32.47436","35.27335","حرش السعادة قوات الأمن الوطني","32.4742947","35.272993799999995","3.4482758620689653%","34.258119793746715m"
"Bi’ār Ruq‘ah","31.45881","35.11814","مسجد الصادق الامين","31.458795799999997","35.1177386","5.555555555555555%","38.18311685828634m"
"Rūjayb","32.19061","35.29332","مسجد قرية روجيب","32.1901091","35.293161","0%","57.53287452781109m"
"Rās Karkar","31.9424","35.10773","","31.9423344","35.1081686","0%","42.10371568187283m"
"Ra’s al ‘Ayn","32.21494","35.25648","مسجد صلاح الدين","32.214484000000006","35.2563045","6.666666666666667%","53.20395207442307m"
"Rantīs","32.02797","35.01879","حضانة رنتيس","32.0282287","35.0191724","0%","46.128082636949756m"
"Rammūn","31.93342","35.29821","صيدلية رامون","31.933381400000002","35.2988408","0%","59.802684895735624m"
"Ramallah","31.89964","35.20422","Modern University College-MUC","31.899787699999997","35.2047725","6.896551724137931%","54.77021949117186m"
"Rafīdīyah","32.22306","35.23667","","32.2231872","35.236205299999995","0%","46.01929488493888m"
"Rāfāt","32.07806","35.04417","Rafat Center For Interne","32.0779983","35.044745299999995","4.166666666666666%","54.745027207434546m"
"Rāfāt","31.87096","35.19182","Sharhabil Bin Hasnah","31.8710985","35.1917068","0%","18.724071543716544m"
"Bi’r Qūzah","32.1375","35.26391","مسجد ابو بكر","32.1371592","35.2641438","8.333333333333332%","43.7582537578168m"
"Quşrah","32.08543","35.33005","المسجد الكبير","32.0851976","35.330233","0%","31.025525485651958m"
"Qūşīn","32.23829","35.18297","مسجد قوصين القديم","32.238511800000005","35.1824968","0%","50.93066376367272m"
"Qīrah","32.12214","35.17173","مسجد","32.1221962","35.1711401","0%","56.015213787854904m"
"Qaryūt","32.07004","35.29432","مسجد قديم","32.0702608","35.2937645","0%","57.884114404625585m"
"Qalqilyah","32.18966","34.97063","Abo Bakir Al-Sedik Mosque","32.1895458","34.970931","4.0%","31.080626607806522m"
"Qalandiyā","31.86289","35.20815","Qalandya Mosque","31.863045","35.2080289","40.0%","20.657441346958336m"
"Bi’r al Qal‘ah","31.86169","35.22716","Qalandia Bus statio","31.8621489","35.2273456","15.789473684210526%","53.83091647817632m"
"Qabāţīyah","32.41035","35.28087","الاتحاد العام للمتعلمين","32.4103075","35.2814922","0%","58.71973367328487m"
"Nişf Jubayl","32.28359","35.21801","مجطة برقه","32.2836259","35.2184825","9.090909090909092%","44.68770830788548m"
"‘Ayn al Mūmiyā","32.08513","35.29874","مجلس قروي تلفيت","32.0854447","35.2983074","6.666666666666667%","53.718361362470176m"
"‘Ayn al Mizrāb","31.9","35.2","Sinatra","31.899728600000003","35.1997532","7.142857142857142%","38.088147932809676m"
"Banī Zayd ash Shārqīyah","32.04935","35.16593","مطعم الاخوة","32.0492539","35.165845399999995","4.3478260869565215%","13.3189200524358m"
"Maythalūn","32.34798","35.27446","بيع وصيانة دراجات هوائية","32.348263","35.274404100000005","0%","31.820797051593434m"
"‘Ayn al Masyūnah","31.88967","35.20043","Arab Bank Regional Administratio","31.8896255","35.200525899999995","9.375%","10.327706576299079m"
"Masḩah","32.10828","35.05096","Masha Mosque","32.1080796","35.0509838","25.0%","22.335338283479622m"
"Manoah","31.50202","35.10401","Dcl","31.502126","35.103417","0%","57.548085450313025m"
"Majdal Banī Fāḑil","32.08357","35.36378","عيادة مجدل بني فاضل","32.0838001","35.3640473","5.263157894736842%","35.88652813138114m"
"Wādī Madhbaḩ","31.83991","35.43832","اتحاد العناية الصحية","31.8401152","35.4388607","5.0%","56.01078256288612m"
"Mādamā","32.18588","35.23114","Al-Omari Mosqu","32.1858782","35.2307674","7.142857142857142%","35.13749601802074m"
"Kifil Ḩāris","32.11827","35.15719","نادي تنمية للفتيات","32.1187592","35.157085200000004","5.555555555555555%","55.141041578061994m"
"Rās ‘Aţīyah","32.15847","34.99086","Salah Al Din","32.1581801","34.9913136","16.666666666666664%","53.51877034975356m"
"Burayḑi‘ah","31.68553","35.23681","مسجد الدعاء","31.6853787","35.236568","0%","28.423960923790492m"
"Bayt ‘Awwā","31.50911","34.94938","مكتب تكسي الخط الأخضر","31.509238699999997","34.9490801","4.761904761904762%","31.862572163785032m"
"Khirbat ‘Aşīdah","31.6213","35.10222","Beit Ommar Big Mosque","31.621575","35.1022855","9.523809523809524%","31.118905258318094m"
"Ash Shaykh Sa‘d","31.73721","35.25742","مسجد الشيخ سعد","31.736911300000003","35.257073","6.666666666666667%","46.6713778872306m"
"Khirbat an Naşārá","31.553","35.10177","شركة ارز اقنيبي","31.552495500000003","35.101853600000005","5.88235294117647%","56.49883522979512m"
"Al Muţillah","32.4205","35.40763","مسجد المطلة","32.4204615","35.4075125","9.090909090909092%","11.847960106680388m"
"Al Jārūshīyah","32.34698","35.05009","مسجد جريشة","32.3471018","35.049561100000005","7.6923076923076925%","51.58782252808808m"
"Kharbathā Banī Ḩārith","31.94508","35.07194","مدرسة بنات خربثا","31.9455179","35.0717555","4.761904761904762%","51.59533430040408m"
"Kafr Zībād","32.22583","35.07179","مجلس قروي كفر زيباد","32.225569899999996","35.0721881","5.263157894736842%","47.32913684259142m"
"Kafr Rummān","32.31647","35.12613","مسجد كفر رمان","32.3166362","35.1259264","7.6923076923076925%","26.594317439222053m"
"Kafr Qallīl","32.19351","35.28284","رفعت الهواري","32.1934847","35.283126700000004","8.333333333333332%","27.17931897520877m"
"Jūrīsh","32.10188","35.32188","مسجد جوريش الكبير","32.101519800000005","35.3220229","0%","42.15802429220559m"
"Junayd","32.22676","35.21932","المركز الكوري","32.2269753","35.219900200000005","0%","59.673665432786564m"
"Al Judayyidah","32.33541","35.30107","","32.3353637","35.30082410000001","0%","23.713389033896114m"
"Jīt","32.21431","35.17081","مسجد جت الكبير","32.2141539","35.170724799999995","0%","19.082704719630694m"
"Jifnā","31.96192","35.21338","مطعم ليالي الفرح","31.961682399999997","35.213794","0%","47.17834268390275m"
"Jībiyā","31.99798","35.15988","مسجد جيبيا","31.9984359","35.1601814","0%","58.024042692947035m"
"Jalbūn","32.45957","35.41516","مسجد جلبون","32.4596863","35.4146421","0%","50.37136231159379m"
"Jaba‘","32.32409","35.22133","صيدلية جبع","32.32392539999999","35.221907200000004","0%","57.331991176777116m"
"Iskākā","32.10361","35.22472","مدرسة اسكاكا الاساسية المختلطة","32.1036251","35.224943200000006","0%","21.133552339258717m"
"‘Irāq Būrīn","32.20081","35.24159","مدرسة عراق بورين","32.2008493","35.2418617","6.25%","25.98570710952952m"
"Immātīn","32.19164","35.15836","","32.1920321","35.1585792","0%","48.142997265193124m"
"Iktābah","32.3266","35.05262","مسجد الراشدين","32.3268666","35.052215999999994","0%","48.1768663376696m"
"Ḩuwwārah","32.15224","35.25673","دار القرأن الكريم","32.1523268","35.2572876","0%","53.47547073966332m"
"‘Ayn al Ḩāwūz","32.32214","35.20159","Omar ibn Al khatab mosqu","32.3220101","35.201235600000004","8.333333333333332%","36.34708827387515m"
"Bi’r al Hawā’","31.89368","35.06855","Gaz Statio","31.8938131","35.0685607","7.6923076923076925%","14.793458533234979m"
"Wādī al Ḩajīj","32.46113","35.41303","جلبون بيجز","32.4608003","35.413077799999996","7.6923076923076925%","36.837204677035025m"
"Ḩablah","32.16523","34.97748","Hablah Village Counci","32.1655547","34.9772576","23.809523809523807%","41.67106828893828m"
"Wādī al Ḩabā’il","32.1","35.28333","مدرسة الراشد الثانوية للبنين","32.100161","35.2833579","3.571428571428571%","18.046243189672627m"
"Far‘ūn","32.28613","35.02326","مسجد فرعون","32.286066600000005","35.0229136","0%","33.37918542461283m"
"Farkhah","32.06878","35.15286","مدرسة فرخة الثانوية المختلطة","32.069093699999996","35.1531446","0%","43.9564892719106m"
"Dhannābah","32.31341","35.04144","مسجد ذنابة القديم","32.3133094","35.0419708","0%","51.215366110059186m"
"Dayr Sharaf","32.25326","35.18893","روضة اطفال الامل","32.253429700000005","35.189387700000005","6.25%","47.056748812591536m"
"Dayr Niz̧ām","32.00282","35.11437","Baladna for Frozen Meats","32.003077399999995","35.114837","8.333333333333332%","52.55324492689714m"
"Dayr Jarīr","31.96636","35.29261","الشروق لتأجير السيارت","31.9660898","35.2927701","4.761904761904762%","33.566704240128416m"
"Dayr Dibwān","31.91112","35.26661","مطعم بيزا اكسبرس","31.910648499999997","35.266375","6.25%","56.81112140118752m"
"Dayr al Ghuşūn","32.35244","35.07689","عيادة طبية","32.3524007","35.0769575","7.142857142857142%","7.704733339222309m"
"Dayr Abū Mash‘al","31.99881","35.06844","","31.9988273","35.0684802","0%","4.255558977940266m"
"Burqah","32.30177","35.19263","ديوان ال الحجي","32.302280800000005","35.192423299999994","0%","59.89564724963555m"
"Bīr Zayt","31.96959","35.19408","Zeina Rest and Caf","31.9693994","35.193614000000004","5.555555555555555%","48.85636568507361m"
"Bīr Nabālā","31.8508","35.2036","صيدلية دار الشفاء","31.8507624","35.2033419","5.88235294117647%","24.781332484621213m"
"Bidyā","32.1146","35.08028","Albara'","32.114771399999995","35.0803717","0%","20.883862528977133m"
"Bet Arye","32.03333","35.05","Al-mokhta","32.0335163","35.050427899999995","11.11111111111111%","45.39225699916028m"
"Baytūnyā","31.8966","35.17048","مسجد الاتقياء","31.896986600000005","35.1701246","0%","54.47945183514575m"
"Bayt Imrīn","32.29301","35.2161","مسجد عمر بن الخطاب","32.2925265","35.21586679999999","5.555555555555555%","57.94122687429203m"
"Bayt Sūrīk","31.82424","35.14936","مسجد الشيخ محمد عطا الله","31.824271500000002","35.1491907","4.166666666666666%","16.404291949477727m"
"Bayt Rīmā","32.03333","35.10361","مسجد عمر بن الخطاب","32.033542","35.1036348","5.555555555555555%","23.624556712182244m"
"Bayt Liqyā","31.86958","35.0654","صيدلية الاسراء","31.869151300000002","35.06554570000001","7.142857142857142%","49.4952022338263m"
"Bayt Līd","32.26089","35.13169","نادي بيت ليد الثقافي","32.260572100000005","35.1317955","5.0%","36.627140062287616m"
"Bethlehem","31.70487","35.20376","圣母玛利亚教堂","31.7049598","35.2040997","0%","33.70600244143998m"
"Bayt Kāḩil","31.57011","35.06502","Beit Kahel Elementary School for Girls","31.5703846","35.065503899999996","7.894736842105263%","55.11148485427099m"
"Bayt Jālā","31.71545","35.18788","","31.7152636","35.1877339","0%","24.878641676756345m"
"Bayt Ijzā","31.84675","35.15173","مدرسة بيت اجزا الاساسية","31.846492699999995","35.1514655","4.3478260869565215%","37.95704783511012m"
"Bayt Fajjār","31.62443","35.15457","Beit Fajjar Police Statio","31.6247011","35.154932099999996","24.0%","45.64892069446251m"
"Bayt Duqqū","31.85911","35.13124","مسجد عقبة بن نافع","31.8592391","35.131232000000004","5.88235294117647%","14.3351757527262m"
"Bayt Dajan","32.19303","35.37127","مسجد بيت دجن","32.1927335","35.37085820000001","8.333333333333332%","50.880643463355064m"
"Bayt Ūlā","31.59618","35.0296","الرحمة للتأهيل","31.5962734","35.0300448","7.142857142857142%","43.46546043482154m"
"Bayt al Khirbah","32.14971","35.25762","Arab Ban","32.1494509","35.2581099","13.333333333333334%","54.4196300482935m"
"‘Ayn al Barādah","31.62262","35.1344","Um Al-Mo'menen Mosque","31.6229483","35.13416779999999","9.523809523809524%","42.54943124255325m"
"Bāqah ash Sharqīyah","32.41032","35.07054","مركز باقة التعليمي","32.4103799","35.0709486","5.263157894736842%","39.00670031147434m"
"Bāqat al Ḩaţab","32.20434","35.11433","مدرسة باقة الحطب للبنات","32.2042426","35.114537299999995","4.3478260869565215%","22.330643018595715m"
"Az Zāwiyah","32.09627","35.03982","Al Zawia Elimentary School For Boy","32.0960894","35.040122","5.88235294117647%","34.83839663686496m"
"Az Zabābidah","32.38665","35.32411","","32.3864418","35.3236841","0%","46.24990111923717m"
"‘Azmūţ","32.22297","35.30989","ديوان ال علاونه","32.223265500000004","35.3099001","0%","32.782035937648054m"
"‘Ayn Qīniyā","31.92653","35.14994","Ein kinia Schoo","31.9268298","35.149528100000005","13.333333333333334%","51.20975674080264m"
"‘Ayn ‘Arīk","31.90613","35.14254","صيدلية امجد","31.906444899999997","35.1422292","9.090909090909092%","45.645466337628356m"
"‘Aynabūs","32.14706","35.24513","مسجد عينابوس","32.147490000000005","35.2447441","0%","59.99206433013092m"
"Wādī al ‘Ayn","32.08621","35.17657","مستودع مواد بناء","32.086277","35.17693870000001","6.25%","35.59105093176352m"
"Usarin","32.12499","35.30999","عيادة طبية","32.124925399999995","35.3098602","0%","14.189489146602329m"
"‘Awartā","32.16108","35.28388","مسجد عباد الرحمن","32.1612321","35.2836894","0%","24.651784349326192m"
"‘Attīl","32.36935","35.07189","مسجد","32.36943660000001","35.0722634","0%","36.430108749248824m"
"Aţ Ţaybah","31.95388","35.2998","كنيسة اللاتين","31.9538347","35.3003997","7.6923076923076925%","56.91798199195841m"
"Khirbat ‘Aţārah","31.87848","35.21705","صيدلية الوليد","31.878137","35.2166955","6.666666666666667%","50.71102251729852m"
"As Sāwiyah","32.08537","35.25782","مسجد الساويه الكبير","32.0848796","35.25792379999999","5.263157894736842%","55.255496671737625m"
"Mukhayyam ‘Askar al Qadīm","32.22048","35.29817","Mothers' schoo","32.2209533","35.2982191","4.0%","52.68824647859961m"
"‘Aşīrah ash Shamālīyah","32.25124","35.26716","روضة السلام","32.251027799999996","35.2676786","4.545454545454546%","54.24021009036146m"
"‘Aşīrah al Qiblīyah","32.17842","35.21569","Ali Khalifa's Clini","32.178585999999996","35.215278000000005","10.526315789473683%","42.99533841912797m"
"Ash Shuyūkh","31.57004","35.15606","","31.569561699999998","35.1560695","0%","53.04124107716288m"
"Ash Shaykh Zayd","32.46264","35.17601","مسجد الشيخ زيد","32.4627433","35.1760939","6.666666666666667%","13.908471632048558m"
"Ash Shaykh Ţaqī","32.08333","35.18333","مكتب تكسي المنى","32.0837709","35.183055700000004","6.666666666666667%","55.32534831866859m"
"Ash Shaykh Shamā’il","31.98603","35.31196","Kufor Malak Elementary School For Boys","31.985617100000002","35.311649700000004","5.263157894736842%","54.37159541369917m"
"Ash Shaykh Şāliḩ","32.45038","35.26325","","32.4507623","35.2629561","0%","50.60658445231162m"
"Ash Shaykh Riḑwān","32.50168","35.16617","Omar Ben Al khatab Mosque","32.501319099999996","35.165919","8.0%","46.45602286740439m"
"Ash Shaykh Najm","31.9","35.21667","Judicial Polic","31.9000788","35.2170365","6.666666666666667%","35.75339761077771m"
"Ash Shaykh Muḩammad Zayd","32.44886","35.16839","مقبرة يعبد","32.449046700000004","35.1685552","4.166666666666666%","25.88346670572941m"
"Ash Shaykh Mufaḑḑil","32.16232","35.28646","صيدلية عورتا","32.162307","35.2864698","5.263157894736842%","1.712487181143316m"
"Ash Shaykh Mubārak","32.08333","35.1825","Al Qud","32.0830179","35.182410100000006","5.555555555555555%","35.63372151336378m"
"Ash Shaykh Khiḑr","32.21667","35.3","محطة قرقش لغسيل السيارات","32.216261100000004","35.299667799999995","4.166666666666666%","55.10658190549427m"
"Ash Shaykh Khāţir","32.12967","35.14354","عيادة صحية","32.129823800000004","35.142993700000005","5.88235294117647%","54.29678240265928m"
"Ash Shaykh ‘Aţā’","32.19934","35.13326","مسجد","32.1990422","35.133511799999994","0%","40.67185535749799m"
"Ash Shaykh Amīn","32.32433","35.21699","مدرسة ذكور جبع","32.324069300000005","35.2174203","6.666666666666667%","49.773189399668944m"
"Ash Shaykh Aḩmad aţ Ţawīl","32.07841","35.04239","Rafat Secondary School For Girl","32.07863","35.0424542","6.451612903225806%","25.137110162040386m"
"Ash Shaykh Aḩmad ash Shalabī","32.00432","35.27108","روضه البراعم","32.004103","35.2714966","3.571428571428571%","46.13598968271311m"
"Ash Shaykh Aḩmad al Ghumr","31.406","34.97039","روضة الخنساء","31.406366600000002","34.9700454","4.0%","52.212127235355m"
"Ash Shaykh Abū Yūsuf","31.94594","35.07006","منظمة فتح","31.9463292","35.0704292","5.0%","55.506968597021m"
"Ash Shaykh Abū Sīlah","32.26579","35.20039","المسجد الصغير","32.2660657","35.200861700000004","5.0%","53.94349548864764m"
"‘Ayn ‘Ārūrah","32.04498","35.17622","حضانة","32.0454234","35.176169200000004","0%","49.40110018770367m"
"Brura","32.04111","35.17095","مقهى الاصدقاء","32.0406201","35.1711471","0%","57.42510703857081m"
"Kanīsat Ḩaql ar Ru‘āh al Kāthūlīkīyah","31.70708","35.2298","Shepherds' Grotto","31.707078399999997","35.229849200000004","2.7027027027027026%","4.667127599673732m"
"‘Arrānah","32.4972","35.32271","Bara'em Al Eman Kindergarten","32.4966977","35.322605100000004","3.571428571428571%","56.56850117080831m"
"‘Arrābah","32.40517","35.20189","مسجد عرابة","32.404759999999996","35.201597899999996","0%","53.12554034348021m"
"‘Arabbūnah","32.51129","35.36291","مركز طبي","32.5110153","35.3628809","0%","30.585547087724887m"
"‘Aqrabā","32.12495","35.34547","مدرسة عقربا الثانوية للبنين","32.125129","35.345073600000006","0%","42.346294867226064m"
"‘Anzah","32.35916","35.22011","المسجد العمري","32.3593965","35.220096500000004","0%","26.256985199880145m"
"An Nāqūrah","32.26506","35.20135","مجلس قروي الناقورة","32.2650649","35.2009011","5.555555555555555%","42.298977609328155m"
"An Nabī Yūsha‘","32.11798","35.15926","","32.1174544","35.1591204","0%","59.75361183151989m"
"An Nabī Ḩanān","32.00881","35.16557","Belal Ben Rabah Mosque","32.008897999999995","35.1656402","9.090909090909092%","11.798850243305122m"
"‘Anabtā","32.30792","35.11693","ديوان ال عبد الدايم","32.3080221","35.1172205","0%","29.608374999151927m"
"Mukhayyam al Am‘arī","31.89404","35.21078","Helana Tax","31.894026899999997","35.210924799999994","5.263157894736842%","13.775122073516572m"
"Al Yāmūn","32.48563","35.23011","المسجد الكبير","32.485279600000005","35.2303093","7.6923076923076925%","43.13736886326836m"
"Al Qubbah","31.94449","35.01931","Ne'leen Elementary Mixed Schoo","31.944573699999996","35.019701","3.3333333333333335%","38.11626699817453m"
"Al Qubaybah","31.83886","35.13678","مدرسة القبيبة الاساسية","31.838359000000004","35.136984399999996","4.545454545454546%","58.82578802808545m"
"Al Midyah","31.93592","35.005","Medya Mosque","31.936179","35.0052672","25.0%","38.25151216921402m"
"Al Lubban al Gharbī","32.03504","35.03928","","32.0346019","35.0390423","0%","53.51738793403438m"
"Al Khiḑr","32.05718","35.36714","مسجد دوما","32.0568664","35.36719779999999","11.11111111111111%","35.2001841302601m"
"Hebron","31.52935","35.0938","","31.5297436","35.093776899999995","0%","43.696928062446325m"
"Al Jāniyah","31.93848","35.12142","","31.938735700000002","35.1208882","0%","57.72773856559191m"
"The Noble Sanctuary","31.78333","35.23333","dardawa","31.783171600000003","35.23294179999999","10.526315789473683%","40.747945991061464m"
"Al Funduq","32.19055","35.13709","Al Fundu","32.1906458","35.1366864","88.88888888888889%","39.51316644079318m"
"Al Fandaqūmīyah","32.3206","35.20329","Mosqu","32.3206234","35.203636100000004","6.666666666666667%","32.692905099373576m"
"Al Bīrah","31.91001","35.21645","Italian Company For Export","31.910057000000002","35.217029700000005","3.8461538461538463%","55.078213743551m"
"‘Ajjah","32.36074","35.1959","عيادة طب اسنان","32.36057460000001","35.1964327","0%","53.38805518444232m"
"Mukhayyam ‘Āyidah","31.71946","35.19864","Falafel Sale","31.7191039","35.198316399999996","5.88235294117647%","49.997654966898516m"
"Abū Shukhaydim","31.9672","35.1714","مقهى باب الحارة","31.967024100000003","35.1709385","6.666666666666667%","47.78604962199758m"
"‘Ābūd","32.01637","35.06833","Aboud pharmacy","32.0160228","35.0678766","7.142857142857142%","57.59464733486956m"
"Dome of the Rock","31.77614","35.23549","","31.7760141","35.2356404","0%","19.945931021159286m"
"Damascus Gate","31.78164","35.2305","Sheikh Loulou Mosque","31.781641399999998","35.2307383","5.0%","22.57145117998838m"
"Herod’s Gate","31.783","35.23375","Uncle Moustache Resturant","31.782850800000002","35.234083500000004","4.0%","35.65760135807602m"
"Lions’ Gate","31.78083","35.23694","House and birthplace of Virgin Mary","31.780845000000003","35.236566100000005","2.857142857142857%","35.45380225661202m"
"Jerusalem Hotel","31.78429","35.22862","Police","31.7843077","35.22887","6.666666666666667%","23.75962070064705m"
"East Jerusalem Central Bus Station","31.78393","35.22891","Green Palestinian Bus Statio","31.783668","35.2292278","32.35294117647059%","41.83301980534666m"
"American Colony Hotel","31.78255","35.22997","العايد","31.7822381","35.2296027","0%","49.0546580272915m"
"Remal","31.53078","34.45502","مدرسة القرشلي لتعليم قيادة السيارات","31.5305386","34.455039500000005","0%","26.830091621507247m"
"Gaza Airstrip","31.36705","34.29451","Gush Katif Airport","31.367351899999996","34.2944072","22.22222222222222%","34.87287523929173m"
"Deir Al Balah","31.40765","34.36736","","31.407643800000002","34.3675994","0%","22.776257820208826m"
"Taybeh","31.9545","35.30023","مركز الكريتاس الصحي","31.9541058","35.3005528","0%","53.31034393518027m"
"Bir Nabala","31.85169","35.20088","سلطة الاراضي","31.8516772","35.2008027","8.333333333333332%","7.452413899249516m"
"Ni'lin","31.9467","35.02165","محطة محروقات نعلين","31.9466517","35.0214179","0%","22.58865562461258m"
"Kafr Rai","32.376","35.1551","مدرسة كفر راعي للبنين","32.3764301","35.154728999999996","4.761904761904762%","59.10802792349678m"
"Qarawat Bani Hassan","32.128","35.099","روضة اطفال النصر","32.1279973","35.0994821","5.263157894736842%","45.49272828455053m"
"Bal'a","32.33317","35.10865","عرار","32.3330213","35.1089876","0%","35.80780250792151m"
"As-Sawahira ash-Sharqiya","31.73214","35.27036","مسجد الانصار","31.7319922","35.2699071","4.166666666666666%","45.942343687514175m"
"Bani Na'im","31.51594","35.16394","Khalil ar Rahman Pharmacy","31.515929600000003","35.1634831","8.0%","43.4145137203278m"
"Al-Shifa Hospital","31.52414","34.4442","مسجد الشفاء","31.523767","34.444554600000004","5.88235294117647%","53.33618631280585m"
"Azzoun","32.17648","35.05956","","32.1760982","35.059588899999994","0%","42.42540632983229m"
"Al-Azhar University - Gaza","31.51528","34.43639","Save the Children -Tal al Hawa warehous","31.5151055","34.4358146","5.128205128205128%","57.979123173650294m"
"Bethlehem University","31.71056","35.20139","Bonjour Cafe","31.7105059","35.2008073","5.0%","55.558228779805596m"
"Al-Aqsa University","31.50444","34.43583","Al-Jaleel Secondry Female Schoo","31.5046078","34.4356459","9.67741935483871%","25.53482794988213m"
"An-Najah National University","32.22037","35.24447","British Council","32.2200973","35.2448773","7.142857142857142%","48.87340353463737m"
"Birzeit University","31.95869","35.18071","","31.9591012","35.1803715","0%","55.704938778910666m"
"Al-Quds University","31.75591","35.26138","","31.755821100000002","35.2610842","0%","29.707967028655382m"
"Bani Suhela","31.3421","34.32526","","31.341647299999998","34.3253885","0%","51.66135979072496m"
"Ya'bad","32.44651","35.17037","","32.4469818","35.170677000000005","0%","59.7557178581208m"
"Silat al-Dahr","32.3175","35.18723","","32.3179168","35.187325","0%","47.07769141671557m"
"Ilar","32.3707","35.10865","MR toast ellar","32.3709553","35.1087091","21.428571428571427%","28.852232488685157m"
"Hindaza","31.6862","35.21544","مسجد عمر بن الخطاب","31.686090999999998","35.215335499999995","0%","15.628239122418417m"
